id,module,name,path,route,evidence_level,evidence_ref,status,notes
P0C-0001,P0,get,bearer-or-token-header,/api/admin/account,I,static R10 skeleton,method-inferred,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=yes-safe; entities=-; list-like GET; pagination params common in admin SPA; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0002,P0,put,bearer-or-token-header,/api/admin/account/recover,I,static R10 skeleton,method-inferred,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=-; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0003,P0,get,bearer-or-token-header,/api/admin/accounting/categories/,I,static R10 skeleton,method-inferred,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=yes-safe; entities=cat; list-like GET; pagination params common in admin SPA; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0004,P0,∅,bearer-or-token-header,/api/admin/accounting/categoriesr,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=cat; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0005,P0,∅,bearer-or-token-header,/api/admin/accounting/daily-report,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=daily_health_status; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0006,P0,∅,bearer-or-token-header,/api/admin/accounting/goods-sales-report,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=-; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0007,P0,∅,bearer-or-token-header,/api/admin/accounting/monthly-report,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=-; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0008,P0,∅,bearer-or-token-header,/api/admin/accounting/records,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=health_records; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0009,P0,∅,bearer-or-token-header,/api/admin/accounting/statisticsr,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=-; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0010,P0,∅,bearer-or-token-header,/api/admin/accounting/subcategories,S,static R10 skeleton,method-unknown,req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=cat; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack
P0C-0011,P0,post,likely-public-or-pre-session,/api/admin/app/login,I,static R10 skeleton,method-inferred,req=I: phone/code or apple credential fields likely; exact keys B; resp=I: token + user profile likely; exact schema B; err=I: invalid code / rate limit likely; codes B; params=-; idem=non-idempotent-create; entities=app_version; pre-session auth; login/sms typically pre-auth; still confirm dynamically
P0C-0012,P0,put,bearer-or-token-header,/api/admin/breeding/invite/,I,static R10 skeleton,method-inferred,"req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=-; idem=unknown; entities=breeding_plan,breeding_plan_filter,breeding_plan_form,breeding_plan_reminder,breeding_transaction,paginated_breeding_plan_response; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack"
P0C-0013,P0,get,bearer-or-token-header,/api/admin/breeding/invite/:token/info,W,static R10 skeleton,method-resolved,"req=B-not-observed-runtime; resp=B-not-observed-runtime; err=B-not-observed-runtime; params=token; idem=yes-safe; entities=audit_info,breeding_plan,breeding_plan_filter,breeding_plan_form,breeding_plan_reminder,breeding_transaction,cdn_traffic_info,door_info; admin interceptor uses localStorage.token or App Bridge getToken; Authorization header used by HTTP stack"
