id,module,name,path,route,evidence_level,evidence_ref,status,notes
API-WEB-0001,admin/articles,getArticles,admin-js,/api/admin/articles,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getArticles; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0002,admin/articles,addArticle,admin-js,/api/admin/articles/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addArticle; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0003,admin/articles,deleteArticle,admin-js,/api/admin/articles/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteArticle; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0004,admin/articles,getArticle,admin-js,/api/admin/articles/detail/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getArticle; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0005,admin/articles,updateArticle,admin-js,/api/admin/articles/update/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateArticle; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0006,admin/brands,getBrands,admin-js,/api/admin/brands,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getBrands; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0007,admin/brands,addBrand,admin-js,/api/admin/brands/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addBrand; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0008,admin/brands,deleteBrand,admin-js,/api/admin/brands/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteBrand; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0009,admin/brands,getBrand,admin-js,/api/admin/brands/detail/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getBrand; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0010,admin/brands,updateBrand,admin-js,/api/admin/brands/update/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateBrand; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0011,admin/brands,updateBrandShow,admin-js,/api/admin/brands/update/:id/show,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateBrandShow; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0012,admin/breeding,getStudInviteInfo,admin-js,/api/admin/breeding/invite/:token/info,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getStudInviteInfo; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0013,admin/breeding,acceptStudInvite,admin-js,/api/admin/breeding/invite/accept,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=acceptStudInvite; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0014,admin/breeding,createTransaction,admin-js,/api/admin/breeding/transaction/create,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=createTransaction; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0015,admin/breeding,getTransactions,admin-js,/api/admin/breeding/transaction/list,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getTransactions; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0016,admin/cat,deleteRecord,admin-js,/api/admin/cat/:id/record,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteRecord; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0017,admin/cat,updateCatTags,admin-js,/api/admin/cat/:id/tags,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateCatTags; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0018,admin/cat,updateRecordCat,admin-js,/api/admin/cat/:record_id/record,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateRecordCat; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0019,admin/cat,getCatLevels,admin-js,/api/admin/cat/levels,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getCatLevels; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0020,admin/cat,addCatLevel,admin-js,/api/admin/cat/levels/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addCatLevel; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0021,admin/cat,deleteCatLevel,admin-js,/api/admin/cat/levels/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteCatLevel; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0022,admin/cat,getCatLevelDetail,admin-js,/api/admin/cat/levels/detail/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getCatLevelDetail; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0023,admin/cat,updateCatLevel,admin-js,/api/admin/cat/levels/update/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateCatLevel; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0024,admin/cat,getPlanes,admin-js,/api/admin/cat/planes,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getPlanes; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0025,admin/cat,addPlane,admin-js,/api/admin/cat/planes/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addPlane; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0026,admin/cat,confirmArchive,admin-js,/api/admin/cat/planes/archive/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=confirmArchive; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0027,admin/cat,confirmBreeding,admin-js,/api/admin/cat/planes/breeding/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=confirmBreeding; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0028,admin/cat,updateBreedingDate,admin-js,/api/admin/cat/planes/breeding/:id/date,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateBreedingDate; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0029,admin/cat,confirmPlane,admin-js,/api/admin/cat/planes/confirm/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=confirmPlane; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0030,admin/cat,deletePlane,admin-js,/api/admin/cat/planes/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deletePlane; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0031,admin/cat,getPlane,admin-js,/api/admin/cat/planes/detail/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getPlane; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0032,admin/cat,updatePlaneShow,admin-js,/api/admin/cat/planes/update/:id/show,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updatePlaneShow; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0033,admin/cat,updatePlaneCats,admin-js,/api/admin/cat/planes/update/cats/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updatePlaneCats; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0034,admin/cat,recordWeights,admin-js,/api/admin/cat/planes/weights/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=recordWeights; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0035,admin/cat,deleteWeights,admin-js,/api/admin/cat/planes/weights/:id/delete,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteWeights; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0036,admin/cat,updateWeights,admin-js,/api/admin/cat/planes/weights/:id/update,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateWeights; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0037,admin/cat,getActions,admin-js,/api/admin/cat/record/actions,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getActions; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0038,admin/cat,getEvents,admin-js,/api/admin/cat/record/events,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getEvents; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0039,admin/cat,getTags,admin-js,/api/admin/cat/tags,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getTags; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0040,admin/cat,addTag,admin-js,/api/admin/cat/tags/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addTag; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0041,admin/cat,bindCats,admin-js,/api/admin/cat/tags/bind/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=bindCats; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0042,admin/cat,deleteTag,admin-js,/api/admin/cat/tags/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteTag; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0043,admin/cat,updateTag,admin-js,/api/admin/cat/tags/update/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateTag; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0044,admin/cat,getVarieties,admin-js,/api/admin/cat/varieties,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getVarieties; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0045,admin/cat,addVariety,admin-js,/api/admin/cat/varieties/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addVariety; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0046,admin/cat,deleteVariety,admin-js,/api/admin/cat/varieties/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteVariety; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0047,admin/cat,updateVariety,admin-js,/api/admin/cat/varieties/update/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateVariety; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0048,admin/category,getCategory,admin-js,/api/admin/category,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getCategory; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0049,admin/category,updateCategory,admin-js,/api/admin/category/update,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=put; client_fn=updateCategory; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0050,admin/cats,getCats,admin-js,/api/admin/cats,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getCats; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0051,admin/cats,addCat,admin-js,/api/admin/cats/add,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=post; client_fn=addCat; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0052,admin/cats,deleteCat,admin-js,/api/admin/cats/delete/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=delete; client_fn=deleteCat; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0053,admin/cats,getCat,admin-js,/api/admin/cats/detail/:id,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getCat; extract=named-request; platform=admin-js; R10 may refine auth/body
API-WEB-0054,admin/cats,getUnmotherCats,admin-js,/api/admin/cats/unmother,W,reverse-evidence/web/cattery-admin.js|cattery-editor.js|api-routes.txt,method-resolved,web API; method=get; client_fn=getUnmotherCats; extract=named-request; platform=admin-js; R10 may refine auth/body
